"league_id","season","stage","timeline_id","match_api_id","home_team_api_id","home_team_short_name","away_team_api_id","away_team_short_name","home_team_goal","away_team_goal","home_win","home_loss","home_draw","away_win","away_loss","away_draw","home_goal_diff_0","away_goal_diff_0","home_goal_diff_1","away_goal_diff_1","home_goal_diff_2","away_goal_diff_2","home_goal_diff_3","away_goal_diff_3","home_goal_diff_5","away_goal_diff_5","home_goal_diff_10","away_goal_diff_10","home_goal_diff_total","away_goal_diff_total"
1729,"2008/2009",3,3,489071,8455,"CHE",8586,"TOT",1,1,0,0,1,0,0,1,0,0,4,-1,4,-1,4,-1,4,-1,4,-1,4,-1
1729,"2008/2009",4,4,489072,8650,"LIV",10260,"MUN",2,1,1,0,0,0,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1
1729,"2008/2009",4,4,489073,8586,"TOT",10252,"AVL",1,2,0,1,0,1,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1729,"2008/2009",4,4,489074,10261,"NEW",8667,"HUL",1,2,0,1,0,1,0,0,-1,1,1,0,1,0,1,0,1,0,1,0,1,0
1729,"2008/2009",4,4,489075,8456,"MCI",8455,"CHE",1,3,0,1,0,1,0,0,-2,2,3,1,3,1,3,1,3,1,3,1,3,1
1729,"2008/2009",4,4,489076,8655,"BLB",9825,"ARS",0,4,0,1,0,1,0,0,-4,4,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
1729,"2008/2009",4,4,489077,9879,"FUL",8559,"BOL",2,1,1,0,0,0,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
1729,"2008/2009",4,4,489078,8659,"WBA",8654,"WHU",3,2,1,0,0,0,1,0,1,-1,-1,-3,-1,-3,-1,-3,-1,-3,-1,-3,-1,-3
1729,"2008/2009",4,4,489079,8462,"POR",8549,"MID",2,1,1,0,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1729,"2008/2009",4,4,489080,10194,"STK",8668,"EVE",2,3,0,1,0,1,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1
1729,"2008/2009",4,4,489081,8528,"WIG",8472,"SUN",1,1,0,0,1,0,0,1,0,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
1729,"2008/2009",5,5,489082,8650,"LIV",10194,"STK",0,0,0,0,1,0,0,1,0,0,1,-1,2,-3,2,-3,2,-3,2,-3,2,-3
1729,"2008/2009",5,5,489083,8472,"SUN",8549,"MID",2,0,1,0,0,0,1,0,2,-2,-3,-1,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2
1729,"2008/2009",5,5,489084,8586,"TOT",8528,"WIG",0,0,0,0,1,0,0,1,0,0,-1,5,-2,4,-2,4,-2,4,-2,4,-2,4
1729,"2008/2009",5,5,489085,8654,"WHU",10261,"NEW",3,1,1,0,0,0,1,0,2,-2,3,-3,4,-3,4,-3,4,-3,4,-3,4,-3
1729,"2008/2009",5,5,489086,8456,"MCI",8462,"POR",6,0,1,0,0,0,1,0,6,-6,-2,3,1,-1,1,-1,1,-1,1,-1,1,-1
1729,"2008/2009",5,5,489087,8655,"BLB",9879,"FUL",1,0,1,0,0,0,1,0,1,-1,-4,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
1729,"2008/2009",5,5,489088,8559,"BOL",9825,"ARS",1,3,0,1,0,1,0,0,-2,2,0,4,2,3,2,3,2,3,2,3,2,3
1729,"2008/2009",5,5,489089,8659,"WBA",10252,"AVL",1,2,0,1,0,1,0,0,-1,1,1,1,0,0,0,0,0,0,0,0,0,0
1729,"2008/2009",5,5,489090,8667,"HUL",8668,"EVE",2,2,0,0,1,0,0,1,0,0,-5,1,-4,2,-4,2,-4,2,-4,2,-4,2
1729,"2008/2009",5,5,489091,8455,"CHE",10260,"MUN",1,1,0,0,1,0,0,1,0,0,0,-1,4,0,4,0,4,0,4,0,4,0
1729,"2008/2009",6,6,489092,10260,"MUN",8559,"BOL",2,0,1,0,0,0,1,0,2,-2,3,-1,3,-2,3,-2,3,-2,3,-2,3,-2
1729,"2008/2009",6,6,489093,9825,"ARS",8667,"HUL",1,2,0,1,0,1,0,0,-1,1,3,1,4,1,4,1,4,1,4,1,4,1
1729,"2008/2009",6,6,489094,10252,"AVL",8472,"SUN",2,1,1,0,0,0,1,0,1,-1,0,0,2,1,2,1,2,1,2,1,2,1
1729,"2008/2009",6,6,489095,8668,"EVE",8650,"LIV",0,2,0,1,0,1,0,0,-2,2,-3,0,-4,1,-4,1,-4,1,-4,1,-4,1
1729,"2008/2009",6,6,489096,8549,"MID",8659,"WBA",0,1,0,1,0,1,0,0,-1,1,1,0,2,-1,2,-1,2,-1,2,-1,2,-1
1729,"2008/2009",6,6,489097,10261,"NEW",8655,"BLB",1,2,0,1,0,1,0,0,-1,1,-1,-3,0,-2,0,-2,0,-2,0,-2,0,-2
1729,"2008/2009",6,6,489098,9879,"FUL",8654,"WHU",1,2,0,1,0,1,0,0,-1,1,1,-1,2,-4,2,-4,2,-4,2,-4,2,-4
1729,"2008/2009",6,6,489099,8462,"POR",8586,"TOT",2,0,1,0,0,0,1,0,2,-2,1,0,0,-1,0,-1,0,-1,0,-1,0,-1
1729,"2008/2009",6,6,489100,10194,"STK",8455,"CHE",0,2,0,1,0,1,0,0,-2,2,-1,2,0,3,0,3,0,3,0,3,0,3
1729,"2008/2009",6,6,489101,8528,"WIG",8456,"MCI",2,1,1,0,0,0,1,0,1,-1,0,3,-1,1,-1,1,-1,1,-1,1,-1,1
1729,"2008/2009",7,7,489102,8472,"SUN",9825,"ARS",1,1,0,0,1,0,0,1,0,0,2,2,-1,6,-2,5,-2,5,-2,5,-2,5
1729,"2008/2009",7,7,489103,8586,"TOT",8667,"HUL",0,1,0,1,0,1,0,0,-1,1,0,1,-1,2,-2,2,-2,2,-2,2,-2,2
1729,"2008/2009",7,7,489104,8654,"WHU",8559,"BOL",1,3,0,1,0,1,0,0,-2,2,2,-2,5,-3,6,-4,6,-4,6,-4,6,-4
1729,"2008/2009",7,7,489105,8668,"EVE",10261,"NEW",2,2,0,0,1,0,0,1,0,0,-2,-2,-5,-5,-6,-5,-6,-5,-6,-5,-6,-5
1729,"2008/2009",7,7,489106,8456,"MCI",8650,"LIV",2,3,0,1,0,1,0,0,-1,1,6,2,4,2,7,3,7,3,7,3,7,3
1729,"2008/2009",7,7,489107,8655,"BLB",10260,"MUN",0,2,0,1,0,1,0,0,-2,2,1,0,-3,-1,-3,0,-3,0,-3,0,-3,0
1729,"2008/2009",7,7,489108,8659,"WBA",9879,"FUL",1,0,1,0,0,0,1,0,1,-1,-1,-1,0,-4,-1,-5,-1,-5,-1,-5,-1,-5
1729,"2008/2009",7,7,489109,8462,"POR",10194,"STK",2,1,1,0,0,0,1,0,1,-1,2,0,3,-1,2,-3,2,-3,2,-3,2,-3
1729,"2008/2009",7,7,489110,8528,"WIG",8549,"MID",0,1,0,1,0,1,0,0,-1,1,1,-2,1,-3,0,-4,0,-4,0,-4,0,-4
1729,"2008/2009",7,7,489111,8455,"CHE",10252,"AVL",2,0,1,0,0,0,1,0,2,-2,0,1,0,2,4,1,4,1,4,1,4,1
1729,"2008/2009",8,8,489112,10260,"MUN",8659,"WBA",4,0,1,0,0,0,1,0,4,-4,2,1,5,1,5,0,5,0,5,0,5,0
1729,"2008/2009",8,8,489113,9825,"ARS",8668,"EVE",3,1,1,0,0,0,1,0,2,-2,-1,0,2,1,3,2,3,2,3,2,3,2
1729,"2008/2009",8,8,489114,8650,"LIV",8528,"WIG",3,2,1,0,0,0,1,0,1,-1,0,0,1,5,2,4,2,4,2,4,2,4
1729,"2008/2009",8,8,489115,10252,"AVL",8462,"POR",0,0,0,0,1,0,0,1,0,0,1,-6,1,-3,3,-7,3,-7,3,-7,3,-7
1729,"2008/2009",8,8,489116,8549,"MID",8455,"CHE",0,5,0,1,0,1,0,0,-5,5,-1,2,0,4,1,5,1,5,1,5,1,5
1729,"2008/2009",8,8,489117,10261,"NEW",8456,"MCI",2,2,0,0,1,0,0,1,0,0,-1,-1,-2,2,-1,0,-1,0,-1,0,-1,0
1729,"2008/2009",8,8,489118,9879,"FUL",8472,"SUN",0,0,0,0,1,0,0,1,0,0,-1,-1,0,-1,1,0,1,0,1,0,1,0
