"country_id","season","stage","match_api_id","home_team_api_id","away_team_api_id","Goal_Diff_Home_10.Games","Goal_Diff_away_10.Games","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","PSH","PSD","PSA","WHH","WHD","WHA","SJH","SJD","SJA","VCH","VCD","VCA","GBH","GBD","GBA","BSH","BSD","BSA","buildUpPlaySpeed_home","buildUpPlaySpeedClass_home","buildUpPlayDribblingClass_home","buildUpPlayPassing_home","buildUpPlayPassingClass_home","buildUpPlayPositioningClass_home","chanceCreationPassing_home","chanceCreationPassingClass_home","chanceCreationCrossing_home","chanceCreationCrossingClass_home","chanceCreationShooting_home","chanceCreationShootingClass_home","chanceCreationPositioningClass_home","defencePressure_home","defencePressureClass_home","defenceAggression_home","defenceAggressionClass_home","defenceTeamWidth_home","defenceTeamWidthClass_home","defenceDefenderLineClass_home","buildUpPlaySpeed1_away","buildUpPlaySpeedClass1_away","buildUpPlayDribblingClass1_away","buildUpPlayPassing1_away","buildUpPlayPassingClass1_away","buildUpPlayPositioningClass1_away","chanceCreationPassing1_away","chanceCreationPassingClass1_away","chanceCreationCrossing1_away","chanceCreationCrossingClass1_away","chanceCreationShooting1_away","chanceCreationShootingClass1_away","chanceCreationPositioningClass1_away","defencePressure1_away","defencePressureClass1_away","defenceAggression1_away","defenceAggressionClass1_away","defenceTeamWidth1_away","defenceTeamWidthClass1_away","defenceDefenderLineClass1_away","outcome"
13274,"2012/2013",24,1223172,8525,8464,-26,-7,83,39,2.05,3.4,3.25,2,3.2,3.3,2,3.2,3.2,2,3.63,3.48,2.16,2.9,3,1.91,3.6,3.5,2,3.6,3.4,2.15,3.4,3.25,2,3.5,3.4,2,35,"Balanced","Little",30,"Short","Organised",30,"Safe",40,"Normal",65,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover",32,"Slow","Little",30,"Short","Organised",35,"Normal",40,"Normal",60,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover","2"
13274,"2012/2013",26,1223218,9791,8464,10,-6,43,41,3.6,2,3.4,3.25,1.9,3.3,3.5,1.9,3.6,3.5,1.98,3.86,3.76,1.83,3.5,3.75,1.95,3.5,3.6,1.95,3.8,3.7,2,3.4,3.25,2,3.4,3.4,30,"Slow","Little",45,"Mixed","Organised",31,"Safe",43,"Normal",59,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover",32,"Slow","Little",30,"Short","Organised",35,"Normal",40,"Normal",60,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover","1"
13274,"2012/2013",28,1223260,8593,8464,34,-3,16,63,11,1.2,6,10,1.17,5.7,12,1.2,6,12,1.22,7.19,14.66,1.2,5.5,13,1.22,5.8,12,1.22,7,15,1.2,6,10,1.2,6.5,11,30,"Slow","Little",30,"Short","Free Form",50,"Normal",60,"Normal",70,"Lots","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover",32,"Slow","Little",30,"Short","Organised",35,"Normal",40,"Normal",60,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover","1"
13274,"2012/2013",30,1223286,9761,8464,1,-8,58,39,3,2.15,3.3,3,2.1,3.1,3.2,2.25,3.4,2.9,2.43,3.49,3.01,2.25,3.6,2.7,2.3,3.25,3,2.3,3.6,3,2.15,3.3,3,2.2,3.4,3,30,"Slow","Little",35,"Mixed","Organised",35,"Normal",40,"Normal",60,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover",32,"Slow","Little",30,"Short","Organised",35,"Normal",40,"Normal",60,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover","1"
13274,"2012/2013",32,1223331,8611,8464,15,-11,21,56,7.5,1.36,4.2,7.75,1.45,3.9,6,1.36,4.33,6.5,1.41,4.95,8.19,1.4,4.5,6.5,1.36,4.5,7.5,1.4,5,8.5,1.36,4.2,7.75,1.44,4.33,6.5,30,"Slow","Little",30,"Short","Organised",40,"Normal",40,"Normal",65,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover",32,"Slow","Little",30,"Short","Organised",35,"Normal",40,"Normal",60,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover","1"
1729,"2012/2013",1,1228232,8456,8466,39,0,13,65,17,1.18,6.25,16,1.17,5.8,13,1.17,7,15,1.2,7.5,19.75,1.2,6,15,1.17,7,19,1.2,7,19,1.18,6.25,16,1.17,6.5,17,70,"Fast","Little",60,"Mixed","Organised",55,"Normal",70,"Lots",70,"Lots","Organised",45,"Medium",55,"Press",45,"Normal","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","1"
1729,"2012/2013",4,1228325,9825,8466,13,-1,21,56,8.5,1.34,4.75,8.75,1.33,4.6,7.8,1.36,4.5,9,1.39,5.26,9.09,1.4,4,10,1.33,5,9,1.36,5.2,10,1.34,4.75,8.75,1.29,5,10,66,"Balanced","Little",30,"Short","Free Form",30,"Safe",45,"Normal",35,"Normal","Free Form",30,"Deep",40,"Press",50,"Normal","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","1"
1729,"2012/2013",6,1228407,8668,8466,3,-6,23,54,8,1.42,4.2,7.75,1.42,4,7,1.44,4.2,7.5,1.43,5.01,8.34,1.44,4.2,7.5,1.4,4.5,7.5,1.44,4.75,8.5,1.42,4.2,7.75,1.4,4.5,7.5,60,"Balanced","Little",65,"Mixed","Organised",60,"Normal",70,"Lots",45,"Normal","Organised",40,"Medium",70,"Double",40,"Normal","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","1"
1729,"2012/2013",8,1229184,8654,8466,-1,-8,39,43,4.2,1.83,3.5,4.2,1.85,3.45,4,1.91,3.4,4,1.84,3.81,4.66,1.91,3.4,4,1.83,3.8,4,1.87,3.7,4.6,1.83,3.5,4.2,1.83,3.5,4.33,58,"Balanced","Little",30,"Short","Organised",31,"Safe",70,"Lots",50,"Normal","Organised",30,"Deep",70,"Double",30,"Narrow","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","1"
1729,"2012/2013",10,1229205,8659,8466,-9,-11,36,43,4.75,1.75,3.6,5.25,1.75,3.5,4.5,1.75,3.75,4.5,1.76,4.07,4.82,1.75,3.4,5,1.67,3.8,5,1.73,4,5,1.75,3.6,5.25,1.7,3.6,5,65,"Balanced","Little",40,"Mixed","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","1"
